Ticker,Company,Share/ Par,% TNA,Class of shares,CUSIP,Market value
"CVNA","Carvana Co","322,766.00","0.18%","Common Stock","146869102","$139,948,109.94"
"FANG","Diamondback Energy Inc","941,698.00","0.18%","Common Stock","25278X109","$139,804,485.08"
"EXE","Expand Energy Corp","1,293,469.00","0.18%","Common Stock","165167735","$139,487,696.96"
"HPQ","HP Inc","5,921,346.00","0.18%","Common Stock","40434L105","$137,197,586.82"
"ZBRA","Zebra Technologies Corp","556,362.00","0.18%","Common Stock","989207105","$138,745,555.56"
"NOW","ServiceNow Inc","884,097.00","0.18%","Common Stock","81762P102","$138,520,317.96"
"GEV","GE Vernova Inc","208,800.00","0.18%","Common Stock","36828A101","$138,185,928"
"ETN","Eaton Corp PLC","427,021.00","0.18%","Common Stock","G29183103","$136,813,258.19"
"HOOD","Robinhood Markets Inc","1,112,642.00","0.18%","Common Stock","770700102","$136,154,001.54"
"COIN","Coinbase Global Inc","548,674.00","0.18%","Common Stock","19260Q107","$136,016,284.60"
"DELL","Dell Technologies Inc","1,073,322.00","0.18%","Common Stock","24703L202","$135,893,298.42"
"PSX","Phillips 66","1,049,518.00","0.18%","Common Stock","718546104","$135,377,326.82"
"INTC","Intel Corp","3,701,132.00","0.18%","Common Stock","458140100","$134,610,170.84"
"LEN","Lennar Corp","1,257,486.00","0.18%","Common Stock","526057104","$134,538,427.14"
"SMCI","Super Micro Computer Inc","4,324,704.00","0.18%","Common Stock","86800U302","$134,368,553.28"
"ORCL","Oracle Corp","676,839.00","0.18%","Common Stock","68389X105","$134,271,320.82"
"NKE","NIKE Inc","2,294,137.00","0.17%","Common Stock","654106103","$131,270,519.14"
"MPC","Marathon Petroleum Corp","789,011.00","0.17%","Common Stock","56585A102","$130,005,342.47"
"GNRC","Generac Holdings Inc","906,149.00","0.17%","Common Stock","368736104","$126,906,167.45"
"AVGO","Broadcom Inc","365,525.00","0.16%","Common Stock","11135F101","$124,808,511.25"
"NWSA","News Corp","4,210,036.00","0.14%","Common Stock","65249B109","$110,597,645.72"
"LW","Lamb Weston Holdings Inc","2,559,120.00","0.14%","Common Stock","513272104","$109,530,336"
"FOXA","Fox Corp","1,290,904.00","0.12%","Common Stock","35137L105","$95,036,352.48"
"GOOGL","Alphabet Inc","261,653.00","0.11%","Common Stock","02079K305","$81,054,866.34"
"GOOG","Alphabet Inc","209,195.00","0.09%","Common Stock","02079K107","$65,128,679.35"
"FOX","Fox Corp","919,570.00","0.08%","Common Stock","35137L204","$59,358,243.50"
"NWS","News Corp","1,387,817.00","0.05%","Common Stock","65249B208","$41,481,850.13"
"--","CASH COLLATERAL","36,627,743.31","0.05%","Currency Collateral","FUTPLGCSH","$36,627,743.31"
"--","--","1.00","0.00%","Uninvestible Cash","BNYMLEND","$0.01"
"USD","CASH & EQUIVALENTS","-470,870.78","0.00%","Currency","CASHUSD00","-$470,870.78"
"--","E-mini S&P 500 Equal Weight Futures","-940.00","-0.19%","Synthetic Cash","--","-$148,454,200"

# as of 2025-12-22
